# Interceptor: Micromissile launched from Hydra-70 at 11.3 degrees above horizon
# Target: Drone at (6000, 0, 150) moving at (-10, 0, 0)
# Controller: MPC controller until 1 km to target, then proportional navigation
# MPC controller: distance cost factor = 4, speed cost factor = 1

Time since launch [s],Distance to target [m],Interceptor speed [m/s]
5.28,1314.88,623.217
5.29,1308.69,621.705
5.3,1302.52,620.2
5.31,1296.36,618.937
5.32,1290.21,617.675
5.33,1284.08,616.189
5.34,1277.96,614.938
5.35,1271.86,613.691
5.36,1265.76,612.225
5.37,1259.68,610.766
5.38,1253.62,609.539
5.39,1247.56,608.31
5.4,1241.52,606.869
5.41,1235.49,605.653
5.42,1229.48,604.225
5.43,1223.48,603.022
5.44,1217.49,601.812
5.45,1211.51,600.401
5.46,1205.55,599.2
5.47,1199.6,597.801
5.48,1193.66,596.622
5.49,1187.73,595.236
5.5,1181.82,593.856
5.51,1175.92,592.696
5.52,1170.03,591.328
5.53,1164.15,590.178
5.54,1158.29,589.028
5.55,1152.44,587.677
5.56,1146.6,586.538
5.57,1140.77,585.198
5.58,1134.96,584.068
5.59,1129.16,582.74
5.6,1123.37,581.418
5.61,1117.59,580.305
5.62,1111.82,578.994
5.63,1106.07,577.888
5.64,1100.32,576.588
5.65,1094.59,575.493
5.66,1088.87,574.203
5.67,1083.16,573.115
5.68,1077.47,572.03
5.69,1071.79,570.756
5.7,1066.11,569.488
5.71,1060.45,568.418
5.72,1054.8,567.16
5.73,1049.16,565.908
5.74,1043.54,564.854
5.75,1037.92,563.612
5.76,1032.32,562.391
5.77,1026.73,561.368
5.78,1021.15,560.324
5.79,1015.58,559.101
5.8,1010.02,557.885
5.81,1004.47,556.858
5.82,998.936,555.826
5.83,993.411,554.415
5.84,987.896,553.013
5.85,982.393,551.621
5.86,976.901,550.239
5.87,971.419,548.866
5.88,965.948,547.501
5.89,960.488,546.146
5.9,955.039,544.8
5.91,949.6,543.463
5.92,944.172,542.135
5.93,938.755,540.816
5.94,933.348,539.505
5.95,927.952,538.203
5.96,922.567,536.91
5.97,917.192,535.625
5.98,911.827,534.348
5.99,906.473,533.08
6,901.129,531.82
6.01,895.796,530.569
6.02,890.473,529.325
6.03,885.161,528.09
6.04,879.859,526.862
6.05,874.567,525.643
6.06,869.286,524.431
6.07,864.014,523.227
6.08,858.753,522.031
6.09,853.502,520.843
6.1,848.262,519.662
6.11,843.031,518.489
6.12,837.811,517.323
6.13,832.6,516.164
6.14,827.4,515.013
6.15,822.209,513.869
6.16,817.029,512.733
6.17,811.858,511.603
6.18,806.697,510.481
6.19,801.546,509.366
6.2,796.405,508.257
6.21,791.273,507.156
6.22,786.152,506.061
6.23,781.04,504.974
6.24,775.938,503.893
6.25,770.845,502.818
6.26,765.762,501.751
6.27,760.688,500.69
6.28,755.624,499.635
6.29,750.57,498.587
6.3,745.525,497.546
6.31,740.489,496.51
6.32,735.463,495.481
6.33,730.446,494.459
6.34,725.438,493.442
6.35,720.44,492.432
6.36,715.451,491.428
6.37,710.471,490.429
6.38,705.5,489.437
6.39,700.539,488.451
6.4,695.586,487.471
6.41,690.642,486.496
6.42,685.708,485.528
6.43,680.782,484.565
6.44,675.866,483.608
6.45,670.958,482.656
6.46,666.06,481.71
6.47,661.169,480.77
6.48,656.288,479.836
6.49,651.416,478.906
6.5,646.552,477.983
6.51,641.697,477.064
6.52,636.851,476.151
6.53,632.013,475.244
6.54,627.184,474.341
6.55,622.363,473.444
6.56,617.551,472.552
6.57,612.747,471.665
6.58,607.952,470.784
6.59,603.165,469.907
6.6,598.387,469.036
6.61,593.616,468.169
6.62,588.855,467.308
6.63,584.101,466.451
6.64,579.355,465.599
6.65,574.618,464.752
6.66,569.889,463.91
6.67,565.168,463.073
6.68,560.455,462.24
6.69,555.75,461.412
6.7,551.053,460.589
6.71,546.364,459.77
6.72,541.683,458.956
6.73,537.01,458.146
6.74,532.344,457.341
6.75,527.687,456.541
6.76,523.037,455.745
6.77,518.395,454.953
6.78,513.76,454.166
6.79,509.134,453.383
6.8,504.515,452.604
6.81,499.903,451.83
6.82,495.299,451.06
6.83,490.703,450.294
6.84,486.114,449.532
6.85,481.532,448.775
6.86,476.958,448.021
6.87,472.391,447.272
6.88,467.832,446.527
6.89,463.28,445.786
6.9,458.735,445.049
6.91,454.198,444.315
6.92,449.668,443.586
6.93,445.144,442.861
6.94,440.628,442.139
6.95,436.12,441.422
6.96,431.618,440.708
6.97,427.123,439.998
6.98,422.636,439.292
6.99,418.155,438.59
7,413.682,437.891
7.01,409.215,437.196
7.02,404.755,436.505
7.03,400.302,435.817
7.04,395.855,435.133
7.05,391.416,434.453
7.06,386.983,433.776
7.07,382.557,433.103
7.08,378.138,432.433
7.09,373.725,431.767
7.1,369.319,431.104
7.11,364.92,430.444
7.12,360.527,429.789
7.13,356.14,429.136
7.14,351.76,428.487
7.15,347.387,427.841
7.16,343.02,427.199
7.17,338.66,426.559
7.18,334.305,425.924
7.19,329.957,425.291
7.2,325.616,424.662
7.21,321.28,424.036
7.22,316.951,423.413
7.23,312.628,422.793
7.24,308.312,422.176
7.25,304.001,421.563
7.26,299.697,420.953
7.27,295.398,420.345
7.28,291.106,419.741
7.29,286.82,419.14
7.3,282.54,418.542
7.31,278.265,417.947
7.32,273.997,417.355
7.33,269.734,416.766
7.34,265.477,416.18
7.35,261.226,415.597
7.36,256.982,415.017
7.37,252.743,414.439
7.38,248.509,413.865
7.39,244.282,413.293
7.4,240.06,412.725
7.41,235.844,412.159
7.42,231.633,411.596
7.43,227.428,411.035
7.44,223.229,410.478
7.45,219.035,409.923
7.46,214.847,409.371
7.47,210.664,408.822
7.48,206.487,408.275
7.49,202.316,407.732
7.5,198.149,407.19
7.51,193.988,406.652
7.52,189.833,406.116
7.53,185.683,405.583
7.54,181.538,405.052
