# Interceptor: Micromissile launched from Hydra-70 at 11.3 degrees above horizon
# Target: Drone at (6000, 0, 150) moving at (-10, 0, 0)
# Controller: Proportional navigation only

Time since launch [s],Distance to target [m],Interceptor speed [m/s]
7.29,237.289,437.837
7.3,232.814,437.179
7.31,228.346,436.523
7.32,223.885,435.869
7.33,219.43,435.216
7.34,214.981,434.565
7.35,210.539,433.915
7.36,206.103,433.268
7.37,201.674,432.621
7.38,197.251,431.977
7.39,192.835,431.334
7.4,188.425,430.693
7.41,184.021,430.053
7.42,179.624,429.414
7.43,175.234,428.778
7.44,170.85,428.143
7.45,166.471,427.509
7.46,162.1,426.877
7.47,157.734,426.247
7.48,153.375,425.618
7.49,149.022,424.99
7.5,144.676,424.364
7.51,140.336,423.739
7.52,136.002,423.116
7.53,131.674,422.495
7.54,127.352,421.875
7.55,123.037,421.256
7.56,118.728,420.639
7.57,114.424,420.023
7.58,110.127,419.409
7.59,105.837,418.796
7.6,101.552,418.184
7.61,97.2731,417.574
7.62,93.0008,416.965
7.63,88.7345,416.358
7.64,84.4741,415.751
7.65,80.2197,415.147
7.66,75.9713,414.543
7.67,71.7289,413.941
7.68,67.4924,413.34
7.69,63.2619,412.74
7.7,59.0374,412.142
7.71,54.8189,411.545
7.72,50.6063,410.949
7.73,46.3998,410.355
7.74,42.1991,409.761
7.75,38.0045,409.169
7.76,33.8159,408.578
7.77,29.6332,407.988
7.78,25.4565,407.399
7.79,21.2858,406.811
7.8,17.1206,406.224
7.81,12.9613,405.639
7.82,8.80805,405.054
7.83,4.66029,404.47
7.84,0.51851,403.887
