# 0 mm feed length
# Feed offset: 1.1258 mm

Phi[deg],Theta[deg],dB(GainTotal)
86,-174,-12.0804
88,-174,-12.0878
90,-174,-12.0887
-90,-172,-14.5156
-88,-172,-14.5233
-86,-172,-14.5177
-84,-172,-14.4989
-82,-172,-14.4671
-80,-172,-14.4227
-78,-172,-14.3662
-76,-172,-14.2982
-74,-172,-14.2193
-72,-172,-14.1304
-70,-172,-14.0323
-68,-172,-13.9259
-66,-172,-13.8122
-64,-172,-13.6919
-62,-172,-13.5661
-60,-172,-13.4357
-58,-172,-13.3016
-56,-172,-13.1645
-54,-172,-13.0254
-52,-172,-12.8851
-50,-172,-12.7441
-48,-172,-12.6033
-46,-172,-12.4632
-44,-172,-12.3244
-42,-172,-12.1876
-40,-172,-12.0531
-38,-172,-11.9214
-36,-172,-11.7931
-34,-172,-11.6683
-32,-172,-11.5475
-30,-172,-11.4311
-28,-172,-11.3192
-26,-172,-11.2122
-24,-172,-11.1102
-22,-172,-11.0135
-20,-172,-10.9223
-18,-172,-10.8367
-16,-172,-10.7569
-14,-172,-10.683
-12,-172,-10.6151
-10,-172,-10.5534
-8,-172,-10.4979
-6,-172,-10.4487
-4,-172,-10.4058
-2,-172,-10.3694
0,-172,-10.3394
2,-172,-10.3159
4,-172,-10.299
6,-172,-10.2886
8,-172,-10.2849
10,-172,-10.2877
12,-172,-10.2971
14,-172,-10.3131
16,-172,-10.3357
18,-172,-10.3648
20,-172,-10.4005
22,-172,-10.4427
24,-172,-10.4913
26,-172,-10.5463
28,-172,-10.6077
30,-172,-10.6752
32,-172,-10.7489
34,-172,-10.8286
36,-172,-10.9142
38,-172,-11.0053
40,-172,-11.102
42,-172,-11.2037
44,-172,-11.3104
46,-172,-11.4216
48,-172,-11.537
50,-172,-11.656
52,-172,-11.7782
54,-172,-11.903
56,-172,-12.0297
58,-172,-12.1575
60,-172,-12.2857
62,-172,-12.4132
64,-172,-12.5392
66,-172,-12.6626
68,-172,-12.7821
70,-172,-12.8966
72,-172,-13.0049
74,-172,-13.1056
76,-172,-13.1976
78,-172,-13.2795
80,-172,-13.3503
82,-172,-13.4089
84,-172,-13.4544
86,-172,-13.4861
88,-172,-13.5034
90,-172,-13.5061
-90,-170,-17.4862
-88,-170,-17.502
-86,-170,-17.4874
-84,-170,-17.4428
-82,-170,-17.369
-80,-170,-17.2675
-78,-170,-17.1404
-76,-170,-16.9898
-74,-170,-16.8184
-72,-170,-16.6289
-70,-170,-16.4239
-68,-170,-16.206
-66,-170,-15.9778
-64,-170,-15.7417
-62,-170,-15.4999
-60,-170,-15.2542
-58,-170,-15.0064
-56,-170,-14.7581
-54,-170,-14.5107
-52,-170,-14.2654
-50,-170,-14.0232
-48,-170,-13.785
-46,-170,-13.5516
-44,-170,-13.3237
-42,-170,-13.1019
-40,-170,-12.8866
-38,-170,-12.6783
-36,-170,-12.4773
-34,-170,-12.284
-32,-170,-12.0987
-30,-170,-11.9214
-28,-170,-11.7525
-26,-170,-11.5921
-24,-170,-11.4403
-22,-170,-11.2972
-20,-170,-11.1629
-18,-170,-11.0374
-16,-170,-10.9209
-14,-170,-10.8134
-12,-170,-10.7149
-10,-170,-10.6253
-8,-170,-10.5448
-6,-170,-10.4733
-4,-170,-10.4108
-2,-170,-10.3573
0,-170,-10.3127
2,-170,-10.2772
4,-170,-10.2506
6,-170,-10.233
8,-170,-10.2244
10,-170,-10.2247
12,-170,-10.2339
14,-170,-10.2521
16,-170,-10.2792
18,-170,-10.3153
20,-170,-10.3603
22,-170,-10.4143
24,-170,-10.4774
26,-170,-10.5495
28,-170,-10.6306
30,-170,-10.7208
32,-170,-10.8201
34,-170,-10.9285
36,-170,-11.046
38,-170,-11.1726
40,-170,-11.3081
42,-170,-11.4526
44,-170,-11.6059
46,-170,-11.7678
48,-170,-11.938
50,-170,-12.1163
52,-170,-12.3021
54,-170,-12.4951
56,-170,-12.6944
58,-170,-12.8993
60,-170,-13.1086
62,-170,-13.3212
64,-170,-13.5355
66,-170,-13.7497
68,-170,-13.9619
70,-170,-14.1696
72,-170,-14.3701
74,-170,-14.5607
76,-170,-14.7381
78,-170,-14.899
80,-170,-15.0403
82,-170,-15.1587
84,-170,-15.2514
86,-170,-15.3161
88,-170,-15.351
90,-170,-15.3551
-90,-168,-22.6548
-88,-168,-22.7003
-86,-168,-22.6522
-84,-168,-22.5132
-82,-168,-22.2914
-80,-168,-21.998
-78,-168,-21.6465
-76,-168,-21.2502
-74,-168,-20.8216
-72,-168,-20.3715
-70,-168,-19.9088
-68,-168,-19.4406
-66,-168,-18.9723
-64,-168,-18.5082
-62,-168,-18.0513
-60,-168,-17.6038
-58,-168,-17.1673
-56,-168,-16.743
-54,-168,-16.3316
-52,-168,-15.9337
-50,-168,-15.5496
-48,-168,-15.1794
-46,-168,-14.8234
-44,-168,-14.4814
-42,-168,-14.1536
-40,-168,-13.8398
-38,-168,-13.5399
-36,-168,-13.2539
-34,-168,-12.9817
-32,-168,-12.7231
-30,-168,-12.478
-28,-168,-12.2462
-26,-168,-12.0277
-24,-168,-11.8223
-22,-168,-11.6298
-20,-168,-11.4501
-18,-168,-11.2832
-16,-168,-11.1287
-14,-168,-10.9867
-12,-168,-10.8568
-10,-168,-10.7391
-8,-168,-10.6333
-6,-168,-10.5393
-4,-168,-10.457
-2,-168,-10.3861
0,-168,-10.3267
2,-168,-10.2786
4,-168,-10.2416
6,-168,-10.2156
8,-168,-10.2007
10,-168,-10.1966
12,-168,-10.2033
14,-168,-10.2208
16,-168,-10.2491
18,-168,-10.2882
20,-168,-10.338
22,-168,-10.3987
24,-168,-10.4702
