# Micromissile
# Constant L/D = 5
# Initial speed = 1000 m/s
# Constant normal acceleration = 100 m/s^2
# With air drag, no gravity

Time [s],Azimuth [rad],Speed [m/s]
5.74,1.24907,280.403
5.75,1.25264,279.935
5.76,1.25621,279.467
5.77,1.25979,279.001
5.78,1.26338,278.536
5.79,1.26697,278.071
5.8,1.27057,277.608
5.81,1.27418,277.145
5.82,1.27779,276.683
5.83,1.28141,276.222
5.84,1.28503,275.762
5.85,1.28866,275.303
5.86,1.2923,274.844
5.87,1.29594,274.387
5.88,1.29959,273.93
5.89,1.30324,273.474
5.9,1.3069,273.019
5.91,1.31057,272.565
5.92,1.31424,272.112
5.93,1.31792,271.659
5.94,1.3216,271.208
5.95,1.32529,270.757
5.96,1.32899,270.307
5.97,1.33269,269.858
5.98,1.3364,269.41
5.99,1.34012,268.962
6,1.34384,268.516
6.01,1.34757,268.07
6.02,1.3513,267.625
6.03,1.35504,267.181
6.04,1.35879,266.737
6.05,1.36254,266.295
6.06,1.3663,265.853
6.07,1.37006,265.412
6.08,1.37383,264.972
6.09,1.37761,264.533
6.1,1.38139,264.094
6.11,1.38518,263.656
6.12,1.38898,263.219
6.13,1.39278,262.783
6.14,1.39659,262.348
6.15,1.40041,261.913
6.16,1.40423,261.479
6.17,1.40806,261.046
6.18,1.41189,260.614
6.19,1.41573,260.182
6.2,1.41958,259.752
6.21,1.42343,259.322
6.22,1.42729,258.892
6.23,1.43116,258.464
6.24,1.43503,258.036
6.25,1.43891,257.609
6.26,1.44279,257.183
6.27,1.44669,256.758
6.28,1.45058,256.333
6.29,1.45449,255.909
6.3,1.4584,255.486
6.31,1.46232,255.063
6.32,1.46624,254.641
6.33,1.47017,254.22
6.34,1.47411,253.8
6.35,1.47805,253.381
6.36,1.482,252.962
6.37,1.48596,252.544
6.38,1.48992,252.126
6.39,1.49389,251.71
6.4,1.49787,251.294
6.41,1.50185,250.878
6.42,1.50584,250.464
6.43,1.50984,250.05
6.44,1.51384,249.637
6.45,1.51785,249.224
6.46,1.52187,248.813
6.47,1.52589,248.402
6.48,1.52992,247.991
6.49,1.53396,247.582
6.5,1.538,247.173
6.51,1.54205,246.765
6.52,1.5461,246.357
6.53,1.55017,245.95
6.54,1.55424,245.544
6.55,1.55831,245.139
6.56,1.5624,244.734
6.57,1.56649,244.33
6.58,1.57058,243.926
6.59,1.57469,243.523
6.6,1.5788,243.121
6.61,1.58291,242.72
6.62,1.58704,242.319
6.63,1.59117,241.919
6.64,1.5953,241.52
6.65,1.59945,241.121
6.66,1.6036,240.723
6.67,1.60776,240.325
6.68,1.61192,239.928
6.69,1.61609,239.532
6.7,1.62027,239.136
6.71,1.62446,238.742
6.72,1.62865,238.347
6.73,1.63285,237.954
6.74,1.63706,237.561
6.75,1.64127,237.168
6.76,1.64549,236.777
6.77,1.64972,236.386
6.78,1.65395,235.995
6.79,1.65819,235.605
6.8,1.66244,235.216
6.81,1.6667,234.828
6.82,1.67096,234.44
6.83,1.67523,234.053
6.84,1.6795,233.666
6.85,1.68379,233.28
6.86,1.68808,232.894
6.87,1.69238,232.51
6.88,1.69668,232.125
6.89,1.70099,231.742
6.9,1.70531,231.359
6.91,1.70964,230.976
6.92,1.71397,230.595
6.93,1.71831,230.213
6.94,1.72266,229.833
6.95,1.72701,229.453
6.96,1.73138,229.073
6.97,1.73575,228.695
6.98,1.74012,228.316
6.99,1.74451,227.939
7,1.7489,227.562
7.01,1.7533,227.185
7.02,1.7577,226.809
7.03,1.76211,226.434
7.04,1.76653,226.059
7.05,1.77096,225.685
7.06,1.7754,225.312
7.07,1.77984,224.939
7.08,1.78429,224.566
7.09,1.78875,224.194
7.1,1.79321,223.823
7.11,1.79768,223.453
7.12,1.80216,223.082
7.13,1.80665,222.713
7.14,1.81114,222.344
7.15,1.81564,221.975
7.16,1.82015,221.608
7.17,1.82467,221.24
7.18,1.82919,220.873
7.19,1.83373,220.507
7.2,1.83827,220.142
7.21,1.84281,219.777
7.22,1.84737,219.412
7.23,1.85193,219.048
7.24,1.8565,218.684
7.25,1.86107,218.322
7.26,1.86566,217.959
7.27,1.87025,217.597
7.28,1.87485,217.236
7.29,1.87946,216.875
7.3,1.88407,216.515
7.31,1.8887,216.155
7.32,1.89333,215.796
7.33,1.89797,215.437
7.34,1.90261,215.079
7.35,1.90726,214.722
7.36,1.91193,214.365
7.37,1.9166,214.008
7.38,1.92127,213.652
7.39,1.92596,213.297
7.4,1.93065,212.942
7.41,1.93535,212.587
7.42,1.94006,212.233
7.43,1.94477,211.88
7.44,1.9495,211.527
7.45,1.95423,211.175
7.46,1.95897,210.823
7.47,1.96372,210.471
7.48,1.96847,210.12
7.49,1.97324,209.77
7.5,1.97801,209.42
7.51,1.98279,209.071
7.52,1.98758,208.722
7.53,1.99237,208.373
7.54,1.99717,208.026
7.55,2.00199,207.678
7.56,2.00681,207.331
7.57,2.01163,206.985
7.58,2.01647,206.639
7.59,2.02131,206.293
7.6,2.02616,205.949
7.61,2.03102,205.604
7.62,2.03589,205.26
7.63,2.04077,204.917
7.64,2.04565,204.574
7.65,2.05055,204.231
7.66,2.05545,203.889
7.67,2.06036,203.547
7.68,2.06527,203.206
7.69,2.0702,202.866
7.7,2.07513,202.526
7.71,2.08008,202.186
7.72,2.08503,201.847
7.73,2.08999,201.508
7.74,2.09495,201.17
7.75,2.09993,200.832
7.76,2.10491,200.494
7.77,2.1099,200.158
7.78,2.1149,199.821
7.79,2.11991,199.485
7.8,2.12493,199.15
7.81,2.12996,198.815
7.82,2.13499,198.48
7.83,2.14003,198.146
7.84,2.14509,197.812
7.85,2.15015,197.479
7.86,2.15521,197.146
7.87,2.16029,196.814
7.88,2.16538,196.482
7.89,2.17047,196.15
7.9,2.17557,195.819
7.91,2.18069,195.489
7.92,2.18581,195.159
7.93,2.19094,194.829
7.94,2.19607,194.5
7.95,2.20122,194.171
7.96,2.20637,193.843
7.97,2.21154,193.515
7.98,2.21671,193.187
7.99,2.22189,192.86
8,2.22708,192.534
8.01,2.23228,192.207
8.02,2.23749,191.882
8.03,2.2427,191.556
8.04,2.24793,191.231
8.05,2.25264,190.939
8.06,2.25788,190.615
8.07,2.26313,190.291
8.08,2.26839,189.968
8.09,2.27366,189.645
8.1,2.27894,189.323
8.11,2.28423,189.001
8.12,2.28952,188.679
8.13,2.29483,188.358
8.14,2.30014,188.037
8.15,2.30546,187.717
8.16,2.3108,187.397
8.17,2.31614,187.077
8.18,2.32149,186.758
8.19,2.32685,186.44
8.2,2.33222,186.121
8.21,2.33759,185.803
8.22,2.34298,185.486
8.23,2.34838,185.169
8.24,2.35378,184.852
8.25,2.3592,184.536
8.26,2.36462,184.22
8.27,2.37006,183.904
8.28,2.3755,183.589
8.29,2.38095,183.275
8.3,2.38641,182.96
8.31,2.39188,182.646
8.32,2.39736,182.333
8.33,2.40285,182.02
8.34,2.40835,181.707
8.35,2.41386,181.395
8.36,2.41938,181.083
8.37,2.42491,180.771
8.38,2.43044,180.46
8.39,2.43599,180.149
8.4,2.44155,179.838
8.41,2.44711,179.528
8.42,2.45269,179.219
8.43,2.45827,178.909
8.44,2.46387,178.601
8.45,2.46947,178.292
8.46,2.47509,177.984
8.47,2.48071,177.676
8.48,2.48634,177.369
8.49,2.49199,177.062
8.5,2.49764,176.755
8.51,2.5033,176.449
8.52,2.50898,176.143
8.53,2.51466,175.837
8.54,2.52035,175.532
8.55,2.52605,175.227
8.56,2.53177,174.923
8.57,2.53749,174.619
8.58,2.54322,174.315
8.59,2.54896,174.012
8.6,2.55471,173.709
8.61,2.56048,173.406
8.62,2.56625,173.104
8.63,2.57203,172.802
8.64,2.57782,172.5
8.65,2.58363,172.199
8.66,2.58944,171.898
8.67,2.59526,171.597
8.68,2.6011,171.297
8.69,2.60694,170.998
8.7,2.61279,170.698
8.71,2.61866,170.399
8.72,2.62453,170.1
8.73,2.63042,169.802
8.74,2.63631,169.504
8.75,2.64222,169.206
8.76,2.64813,168.909
8.77,2.65406,168.612
8.78,2.65999,168.315
8.79,2.66594,168.019
8.8,2.6719,167.723
8.81,2.67787,167.427
8.82,2.68385,167.132
8.83,2.68983,166.837
8.84,2.69583,166.542
8.85,2.70184,166.248
8.86,2.70787,165.954
8.87,2.7139,165.66
8.88,2.71994,165.367
8.89,2.72599,165.074
8.9,2.73206,164.781
8.91,2.73813,164.489
8.92,2.74422,164.197
8.93,2.75031,163.905
8.94,2.75642,163.614
8.95,2.76254,163.323
8.96,2.76867,163.032
8.97,2.77481,162.742
8.98,2.78096,162.452
8.99,2.78712,162.162
9,2.79329,161.872
9.01,2.79948,161.583
9.02,2.80567,161.295
9.03,2.81188,161.006
9.04,2.81809,160.718
9.05,2.82432,160.43
9.06,2.83056,160.143
9.07,2.83681,159.856
9.08,2.84307,159.569
9.09,2.84935,159.282
9.1,2.85563,158.996
9.11,2.86193,158.71
9.12,2.86823,158.424
9.13,2.87455,158.139
9.14,2.88088,157.854
9.15,2.88722,157.569
9.16,2.89358,157.285
9.17,2.89994,157.001
9.18,2.90632,156.717
9.19,2.9127,156.434
9.2,2.9191,156.151
9.21,2.92551,155.868
9.22,2.93193,155.585
9.23,2.93837,155.303
9.24,2.94481,155.021
9.25,2.95127,154.739
9.26,2.95774,154.458
9.27,2.96422,154.177
9.28,2.97071,153.896
9.29,2.97722,153.616
9.3,2.98373,153.335
9.31,2.99026,153.056
9.32,2.9968,152.776
9.33,3.00335,152.497
9.34,3.00992,152.218
9.35,3.01649,151.939
9.36,3.02308,151.661
9.37,3.02968,151.382
9.38,3.0363,151.105
9.39,3.04292,150.827
9.4,3.04956,150.55
9.41,3.05621,150.273
9.42,3.06287,149.996
9.43,3.06954,149.72
9.44,3.07623,149.444
9.45,3.08293,149.168
9.46,3.08964,148.892
9.47,3.09636,148.617
9.48,3.10309,148.342
9.49,3.10984,148.067
9.5,3.1166,147.793
9.51,3.12338,147.519
9.52,3.13016,147.245
9.53,3.13696,146.971
9.54,3.13941,146.698
