# Micromissile
# Constant L/D = 5
# Initial speed = 1000 m/s
# Constant normal acceleration = 100 m/s^2
# No air drag, no gravity

Azimuth [rad],Speed [m/s]
1.4025,755.47
1.40382,755.27
1.40514,755.071
1.40647,754.871
1.40779,754.671
1.40912,754.471
1.41044,754.271
1.41177,754.071
1.4131,753.871
1.41442,753.671
1.41575,753.471
1.41708,753.271
1.4184,753.071
1.41973,752.871
1.42106,752.671
1.42239,752.471
1.42372,752.271
1.42505,752.072
1.42638,751.872
1.42771,751.672
1.42904,751.472
1.43037,751.272
1.4317,751.072
1.43303,750.872
1.43437,750.672
1.4357,750.472
1.43703,750.272
1.43836,750.072
1.4397,749.872
1.44103,749.673
1.44236,749.473
1.4437,749.273
1.44503,749.073
1.44637,748.873
1.4477,748.673
1.44904,748.473
1.45038,748.273
1.45171,748.073
1.45305,747.873
1.45439,747.673
1.45573,747.473
1.45706,747.273
1.4584,747.073
1.45974,746.874
1.46108,746.674
1.46242,746.474
1.46376,746.274
1.4651,746.074
1.46644,745.874
1.46778,745.674
1.46912,745.474
1.47046,745.274
1.47181,745.074
1.47315,744.874
1.47449,744.674
1.47583,744.474
1.47718,744.274
1.47852,744.074
1.47986,743.875
1.48121,743.675
1.48255,743.475
1.4839,743.275
1.48525,743.075
1.48659,742.875
1.48794,742.675
1.48928,742.475
1.49063,742.275
1.49198,742.075
1.49333,741.875
1.49467,741.675
1.49602,741.475
1.49737,741.275
1.49872,741.075
1.50007,740.876
1.50142,740.676
1.50277,740.476
1.50412,740.276
1.50547,740.076
1.50682,739.876
1.50818,739.676
1.50953,739.476
1.51088,739.276
1.51223,739.076
1.51359,738.876
1.51494,738.676
1.51629,738.476
1.51765,738.276
1.519,738.076
1.52036,737.877
1.52171,737.677
1.52307,737.477
1.52443,737.277
1.52578,737.077
1.52714,736.877
1.5285,736.677
1.52985,736.477
1.53121,736.277
1.53257,736.077
1.53393,735.877
1.53529,735.677
1.53665,735.477
1.53801,735.277
1.53937,735.077
1.54073,734.878
1.54209,734.678
1.54345,734.478
1.54481,734.278
1.54617,734.078
1.54754,733.878
1.5489,733.678
1.55026,733.478
1.55163,733.278
1.55299,733.078
1.55436,732.878
1.55572,732.678
1.55708,732.478
1.55845,732.278
1.55982,732.078
1.56118,731.879
1.56255,731.679
1.56392,731.479
1.56528,731.279
1.56665,731.079
1.56802,730.879
1.56939,730.679
1.57076,730.479
1.57213,730.279
1.57349,730.079
1.57486,729.879
1.57623,729.679
1.57761,729.479
1.57898,729.279
1.58035,729.079
1.58172,728.88
1.58309,728.68
1.58446,728.48
1.58584,728.28
1.58721,728.08
1.58858,727.88
1.58996,727.68
1.59133,727.48
1.59271,727.28
1.59408,727.08
1.59546,726.88
1.59683,726.68
