# 20240820
# TI IWR6843AOPEVM
# Copper corner reflector
# Cory roof
# Range: 3 m

Azimuth,Elevation,TX1RX1,TX1RX2,TX1RX3,TX1RX4,TX2RX1,TX2RX2,TX2RX3,TX2RX4,TX3RX1,TX3RX2,TX3RX3,TX3RX4
5.379379,5.379379,(-430473-121953j),(-443928+5969j),(-415488+149497j),(-438267+112636j),(-27872-377987j),(-231849-328392j),(-227496-293909j),(-273270-234641j),(-244695-334513j),(-305329-183619j),(-378768-125995j),(-327234-115456j)
5.379379,5.379379,(-378606-237609j),(-423802-110749j),(-438113+41788j),(-449493-5273j),(86253-364539j),(-129577-384779j),(-137389-337843j),(-198225-307661j),(-144248-383134j),(-248004-253957j),(-332369-213175j),(-289001-188456j)
8.989298,3.583322,(-438264-172467j),(-399892-46965j),(-398710+165004j),(-390727+162204j),(94424-408083j),(-42314-402682j),(-200961-327692j),(-223705-301299j),(-199911-363647j),(-279701-211735j),(-339644-92793j),(-372201-39289j)
8.989298,3.583322,(-457611+141999j),(-334023+202685j),(-198376+379465j),(-204257+372181j),(-179257-385758j),(-262141-303377j),(-361438-132356j),(-362227-97810j),(-387959-162367j),(-340348+9626j),(-321117+147196j),(-312998+203646j)
8.989298,3.583322,(-421076+235006j),(-281511+263119j),(-106469+413510j),(-122715+404252j),(-254344-346335j),(-306328-254370j),(-380475-55041j),(-374676-23741j),(-415257-76349j),(-326141+80660j),(-279619+214910j),(-258236+265661j)
8.989298,3.583322,(-473938+69272j),(-361804+140032j),(-240539+350520j),(-260343+334298j),(-106271-411743j),(-190298-353026j),(-333893-186723j),(-337254-159352j),(-361739-214155j),(-335636-41118j),(-333789+108782j),(-334006+161523j)
10.806922,3.583322,(-459911+138084j),(-335182+187764j),(-179746+383254j),(-204169+368218j),(-159710-395657j),(-229444-322115j),(-354517-136103j),(-354190-109735j),(-389833-154095j),(-336172+14928j),(-305965+162788j),(-298831+216663j)
10.806922,3.583322,(-403305+268794j),(-260390+274107j),(-50128+421129j),(-82400+409434j),(-262994-339326j),(-298886-250601j),(-379599-27198j),(-369588-5246j),(-418796-28903j),(-312539+117858j),(-236960+252249j),(-213570+298020j)
10.806922,3.583322,(-368014+316810j),(-220410+302237j),(11361+424632j),(-25450+411412j),(-296114-311545j),(-315005-221226j),(-380130+19050j),(-364991+32341j),(-417931+28432j),(-289047+158828j),(-193305+284902j),(-163023+323248j)
10.806922,3.583322,(-155980+463595j),(-20596+367980j),(236411+350620j),(196681+351995j),(-416897-130573j),(-365606-43602j),(-319544+210504j),(-296401+208963j),(-339698+242648j),(-153883+286754j),(-6813+340206j),(41305+353636j)
10.806922,3.583322,(203767+443858j),(248383+269633j),(409855+79049j),(383952+97130j),(-411117+181125j),(-285040+192701j),(-92710+375292j),(-77535+350369j),(-75274+407152j),(96458+307960j),(233821+236425j),(285884+208652j)
12.635624,3.583322,(331407+356870j),(323747+174907j),(409214-63416j),(390605-38579j),(-350649+292064j),(-211665+253180j),(24229+387435j),(24377+353710j),(57037+406272j),(189074+256035j),(296307+138756j),(339669+96746j)
12.635624,3.583322,(459442+162770j),(368742+5214j),(326533-249657j),(316893-223770j),(-197488+423336j),(-72038+301380j),(196495+339058j),(176241+300429j),(240133+331519j),(281443+135139j),(322051-24179j),(346277-79758j)
12.635624,3.583322,(483892-58450j),(330419-162508j),(173577-367363j),(169644-347973j),(-8461+477103j),(63994+284694j),(323719+223229j),(283892+190865j),(361940+188348j),(307719-7458j),(270609-170364j),(270450-231529j)
12.635624,3.583322,(476049-102882j),(318868-188823j),(133495-379556j),(129354-365177j),(19043+479477j),(84498+271987j),(339654+199239j),(292659+164778j),(378238+154554j),(298106-34754j),(248825-196836j),(243120-258481j)
12.635624,3.583322,(395788-279552j),(224493-296625j),(-30595-393504j),(-36616-390655j),(182278+447577j),(180276+205445j),(386002+61625j),(327334+36738j),(408136-3589j),(254823-146449j),(145284-277492j),(117110-335135j)
14.477511,3.583322,(171589-452393j),(29288-373023j),(-245419-297787j),(-262867-301074j),(382978+295607j),(258826+57579j),(355960-147760j),(285081-150180j),(337954-227727j),(125151-260077j),(-38830-306333j),(-94338-343936j)
14.477511,3.583322,(17741-482681j),(-76237-366376j),(-327592-196384j),(-352409-203414j),(444311+182183j),(263279-32754j),(294459-241122j),(217829-229473j),(250464-321625j),(34732-278845j),(-133524-274376j),(-200882-293344j)
14.477511,3.583322,(-266220-404467j),(-264454-257980j),(-375122+37177j),(-414586+43809j),(466896-81082j),(189747-189422j),(110354-356658j),(36243-312275j),(22372-405907j),(-136283-243225j),(-267891-139920j),(-336319-119478j)
18.209957,1.790785,(406973+265144j),(262217+42015j),(264274-235303j),(281037-263260j),(-331835+221324j),(-316820+227617j),(92703+281992j),(109571+446705j),(148041+288021j),(322316+119096j),(235203-95232j),(349286-178259j)
